Year,Avg Salary USD,Popularity,AI Market Value (Billions),AI Adoption %,AI Job Postings,AI Investment (Billions),Public Opinion %,AI Publications (K),AI Patents (K),AI Market Value (Billions) YoY Growth,AI Job Postings YoY Growth,AI Investment (Billions) YoY Growth
2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.833,0.0,0.0,0.0
2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.516,0.0,0.0,0.0
2012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.205,0.0,0.0,0.0
2013,0.0,0.0,0.0,0.0,0.0,24.632269143,0.0,202.15699999999998,6.282,0.0,0.0,inf
2014,0.0,0.0,0.0,0.0,0.0,37.530388115,0.0,208.649,6.813,0.0,0.0,0.5236269097711361
2015,0.0,0.0,0.0,0.0,0.0,51.016384165,0.0,212.754,7.833,0.0,0.0,0.35933537400882787
2016,0.0,0.0,0.0,0.0,0.0,66.85840071300001,0.0,215.828,10.195,0.0,0.0,0.31052801579905953
2017,0.0,0.0,0.0,0.0,0.0,102.712385517,0.0,233.409,13.447,0.0,0.0,0.536267461106477
2018,0.0,0.0,29.5,10.0,0.0,160.73901989799998,0.0,275.551,17.251,0.0,0.0,0.5649429140305182
2019,0.0,0.0,35.0,20.0,0.0,215.399042485,0.0,324.022,26.965,0.18644067796610164,0.0,0.3400544722848602
2020,0.0,0.0,45.0,30.0,0.0,367.83044599600004,0.0,352.18399999999997,43.36,0.2857142857142858,0.0,0.7076698287626562
2021,0.0,0.0,65.0,35.0,0.0,644.0100904980001,0.0,396.43899999999996,66.06,0.4444444444444444,0.0,0.7508341071500191
2022,0.0,0.0,140.0,35.0,0.0,464.861982184,52.333333333333336,394.619,94.559,1.1538461538461537,0.0,-0.2781759338203357
2023,0.0,0.0,279.0,35.0,29121.966319353,455.009812297,55.625,483.442,122.511,0.9928571428571429,inf,-0.021193752693461465
2024,115145.35598305683,0.0,400.0,40.0,1338103.973059572,607.4872403429999,54.0,0.0,0.0,0.4336917562724014,44.94827005792995,0.33510799970720817
2025,115977.99972737186,5.88,1810.0,63.0,1338103.973059572,607.4872403429999,54.0,0.0,0.0,3.5250000000000004,0.0,0.0
